LIMES;Enavi;UnitLIMES;UnitEnavi;ConvFactor
Exports to LUX|Electricity;Exports to LUX|Electricity;TWh/yr;TWh/yr;1
Exports to CZE|Electricity;Exports to CZE|Electricity;TWh/yr;TWh/yr;1
Exports to SVK|Electricity;Exports to SVK|Electricity;TWh/yr;TWh/yr;1
Exports to AUT|Electricity;Exports to AUT|Electricity;TWh/yr;TWh/yr;1
Exports to CHE|Electricity;Exports to CHE|Electricity;TWh/yr;TWh/yr;1
Exports to HUN|Electricity;Exports to HUN|Electricity;TWh/yr;TWh/yr;1
Exports to ROM|Electricity;Exports to ROM|Electricity;TWh/yr;TWh/yr;1
Exports to SVN|Electricity;Exports to SVN|Electricity;TWh/yr;TWh/yr;1
Exports to FRA|Electricity;Exports to FRA|Electricity;TWh/yr;TWh/yr;1
Exports to HRV|Electricity;Exports to HRV|Electricity;TWh/yr;TWh/yr;1
Exports to BAL|Electricity;Exports to BAL|Electricity;TWh/yr;TWh/yr;1
Exports to BGR|Electricity;Exports to BGR|Electricity;TWh/yr;TWh/yr;1
Exports to ITA|Electricity;Exports to ITA|Electricity;TWh/yr;TWh/yr;1
Exports to ESP|Electricity;Exports to ESP|Electricity;TWh/yr;TWh/yr;1
Exports to PRT|Electricity;Exports to PRT|Electricity;TWh/yr;TWh/yr;1
Exports to GRC|Electricity;Exports to GRC|Electricity;TWh/yr;TWh/yr;1
Imports from FIN|Electricity;Imports from FIN|Electricity;TWh/yr;TWh/yr;1
Imports from NOR|Electricity;Imports from NOR|Electricity;TWh/yr;TWh/yr;1
Imports from SWE|Electricity;Imports from SWE|Electricity;TWh/yr;TWh/yr;1
Imports from EST|Electricity;Imports from EST|Electricity;TWh/yr;TWh/yr;1
Imports from LVA|Electricity;Imports from LVA|Electricity;TWh/yr;TWh/yr;1
Imports from LTU|Electricity;Imports from LTU|Electricity;TWh/yr;TWh/yr;1
Imports from DNK|Electricity;Imports from DNK|Electricity;TWh/yr;TWh/yr;1
Imports from GBR|Electricity;Imports from GBR|Electricity;TWh/yr;TWh/yr;1
Imports from IRL|Electricity;Imports from IRL|Electricity;TWh/yr;TWh/yr;1
Imports from NLD|Electricity;Imports from NLD|Electricity;TWh/yr;TWh/yr;1
Imports from POL|Electricity;Imports from POL|Electricity;TWh/yr;TWh/yr;1
Imports from DEU|Electricity;Imports from DEU|Electricity;TWh/yr;TWh/yr;1
Imports from BEL|Electricity;Imports from BEL|Electricity;TWh/yr;TWh/yr;1
Imports from LUX|Electricity;Imports from LUX|Electricity;TWh/yr;TWh/yr;1
Imports from CZE|Electricity;Imports from CZE|Electricity;TWh/yr;TWh/yr;1
Imports from SVK|Electricity;Imports from SVK|Electricity;TWh/yr;TWh/yr;1
Imports from AUT|Electricity;Imports from AUT|Electricity;TWh/yr;TWh/yr;1
Imports from CHE|Electricity;Imports from CHE|Electricity;TWh/yr;TWh/yr;1
Imports from HUN|Electricity;Imports from HUN|Electricity;TWh/yr;TWh/yr;1
Imports from ROM|Electricity;Imports from ROM|Electricity;TWh/yr;TWh/yr;1
Imports from SVN|Electricity;Imports from SVN|Electricity;TWh/yr;TWh/yr;1
Imports from FRA|Electricity;Imports from FRA|Electricity;TWh/yr;TWh/yr;1
Imports from HRV|Electricity;Imports from HRV|Electricity;TWh/yr;TWh/yr;1
Imports from BAL|Electricity;Imports from BAL|Electricity;TWh/yr;TWh/yr;1
Imports from BGR|Electricity;Imports from BGR|Electricity;TWh/yr;TWh/yr;1
Imports from ITA|Electricity;Imports from ITA|Electricity;TWh/yr;TWh/yr;1
Imports from ESP|Electricity;Imports from ESP|Electricity;TWh/yr;TWh/yr;1
Imports from PRT|Electricity;Imports from PRT|Electricity;TWh/yr;TWh/yr;1
Imports from GRC|Electricity;Imports from GRC|Electricity;TWh/yr;TWh/yr;1
Net exports to FIN|Electricity;Net exports to FIN|Electricity;TWh/yr;TWh/yr;1
Net exports to NOR|Electricity;Net exports to NOR|Electricity;TWh/yr;TWh/yr;1
